trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
60,False,"{'a': 0.5, 'e': 0.5199999999999996}",25,0,-71.09969479404984,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
61,False,"{'a': 0.5, 'e': 0.5119999999999996}",20,0,1.9280614507121248,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.5039999999999996}",25,0,-19.75549352800571,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.49599999999999955}",25,17,-6.039661877885578,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.48799999999999955}",25,7,-20.44136716385095,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.47999999999999954}",20,2,-48.99555999950116,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
66,False,"{'a': 0.5, 'e': 0.47199999999999953}",25,0,-71.19348143211745,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.4639999999999995}",25,12,-4.685740232955157,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.4559999999999995}",25,0,7.262744489397446,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.4479999999999995}",25,0,-32.08021323155948,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.4399999999999995}",25,6,-6.382700668731287,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.4319999999999995}",20,6,2.9812061613532537,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.4239999999999995}",25,0,-107.18231377761663,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
73,False,"{'a': 0.5, 'e': 0.4159999999999995}",25,13,9.725982214436144,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.4079999999999995}",25,0,-144.67841466248183,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
75,False,"{'a': 0.5, 'e': 0.39999999999999947}",30,0,-62.996219619116395,"{0: 21, 1: 3, 2: 4, 3: 2, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.39199999999999946}",25,0,-3.929856591042346,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.38399999999999945}",20,10,20.294812869430743,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.37599999999999945}",30,8,-18.15707041204938,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.36799999999999944}",25,13,24.875146946693437,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.35999999999999943}",30,0,35.61165968206437,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.3519999999999994}",25,0,-18.172586978837487,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.3439999999999994}",30,0,-41.751459058533015,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.3359999999999994}",25,0,-31.045105018883127,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.3279999999999994}",25,12,-9.02545242198799,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.3199999999999994}",25,11,23.15946747856447,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.3119999999999994}",20,0,-55.264459472097435,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.3039999999999994}",20,13,16.123183906721323,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
