trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
257,False,"{'a': 0.5, 'e': 0.5199533413309697}",30,17,-12.272634161675033,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
258,False,"{'a': 0.5, 'e': 0.5165324121679208}",20,9,22.778760443626314,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.5, 'e': 0.5131032184972966}",30,14,-33.23041938177862,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
260,False,"{'a': 0.5, 'e': 0.5096658151861225}",20,8,-2.592760625529225,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
261,False,"{'a': 0.5, 'e': 0.5062202572327784}",25,3,-58.19261234777874,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 1}",1
262,False,"{'a': 0.5, 'e': 0.5027665997661179}",20,8,12.59385804770007,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.5, 'e': 0.4993048980445869}",20,3,-45.60716690751251,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
264,False,"{'a': 0.5, 'e': 0.495835207455339}",25,0,-1.1619474162821755,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
265,False,"{'a': 0.5, 'e': 0.4923575835133496}",30,24,10.562386887818862,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.5, 'e': 0.48887208186052755}",25,0,2.3677429903180487,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
267,False,"{'a': 0.5, 'e': 0.48537875826482507}",30,0,-18.39943751720871,"{0: 23, 1: 4, 2: 3, 3: 0, 4: 0}",0
268,False,"{'a': 0.5, 'e': 0.48187766861934506}",25,0,-13.663520725298625,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
269,False,"{'a': 0.5, 'e': 0.47836886894144715}",25,0,-87.60580862549926,"{0: 17, 1: 0, 2: 5, 3: 3, 4: 0}",0
270,False,"{'a': 0.5, 'e': 0.47485241537185147}",25,0,-63.35745034794589,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
271,False,"{'a': 0.5, 'e': 0.47132836417373997}",25,9,-26.681414153034112,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
